ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location
12583415,JF101863,"01-02-2022 23:00","091XX S KINGSTON AVE",810,THEFT,"OVER $500","VEHICLE NON-COMMERCIAL",FALSE,FALSE,423,4,7,48,6,1194753,1844923,2022,"11-12-2022 15:46",41.72938737,-87.56215356,"(41.729387368, -87.562153564)"
12583919,JF102588,"01-03-2022 02:00","012XX S CALIFORNIA BLVD",810,THEFT,"OVER $500",APARTMENT,FALSE,TRUE,1023,10,28,29,6,1157887,1894128,2022,"11-12-2022 15:46",41.86523957,-87.69586692,"(41.865239573, -87.695866917)"
12583359,JF101753,"01-03-2022 02:27","007XX E 61ST ST",810,THEFT,"OVER $500",STREET,TRUE,FALSE,313,3,20,42,6,1182022,1864720,2022,"11-12-2022 15:46",41.78401595,-87.6081787,"(41.784015947, -87.6081787)"
12613868,JF138851,"01-03-2022 02:30","057XX S CICERO AVE",810,THEFT,"OVER $500","AIRPORT TERMINAL LOWER LEVEL - SECURE AREA",FALSE,FALSE,813,8,23,56,6,1145654,1866253,2022,"11-12-2022 15:46",41.78898704,-87.74147999,"(41.788987036, -87.74147999)"
12584353,JF103119,"01-03-2022 03:00","075XX S ESSEX AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,421,4,7,43,6,1194171,1855517,2022,"11-12-2022 15:46",41.75847248,-87.56393855,"(41.758472475, -87.563938551)"
12698996,JF241827,"01-03-2022 09:30","020XX W DIVISION ST",810,THEFT,"OVER $500",RESTAURANT,FALSE,FALSE,1212,12,1,24,6,1162521,1907985,2022,"11-12-2022 15:46",41.90316867,-87.67846717,"(41.903168666, -87.678467174)"
12583552,JF102132,"01-03-2022 10:00","007XX S WABASH AVE",810,THEFT,"OVER $500","PARKING LOT / GARAGE (NON RESIDENTIAL)",FALSE,FALSE,123,1,4,32,6,1176908,1896967,2022,"11-12-2022 15:46",41.87262116,-87.6259549,"(41.87262116, -87.625954897)"
12584155,JF102829,"01-03-2022 10:40","127XX S MARQUETTE AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,433,4,10,55,6,1196418,1821108,2022,"11-12-2022 15:46",41.66399551,-87.55684085,"(41.663995506, -87.556840851)"
12588664,JF108374,"01-03-2022 11:00","012XX W WASHINGTON BLVD",810,THEFT,"OVER $500","COMMERCIAL / BUSINESS OFFICE",FALSE,FALSE,1224,12,27,28,6,1168440,1900674,2022,"11-12-2022 15:46",41.88298074,-87.65693728,"(41.882980737, -87.65693728)"
12583631,JF102136,"01-03-2022 11:00","025XX N MARMORA AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,2515,25,30,19,6,1136632,1916210,2022,"11-12-2022 15:46",41.92624198,-87.77336661,"(41.926241982, -87.773366607)"
